state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Tamil Nadu,Gangtok,Market C,Apple,Premium,13/04/2025,79986,92244,86967
Assam,Kohima,Market C,Turmeric,Bold,27/06/2024,96265,111019,102041
Maharashtra,Srinagar,Market C,Cardamom,Rasthali,26/04/2024,88973,99918,95628
Sikkim,Mysuru,Market B,Cardamom,Fresh,09/05/2024,80635,92244,87814
Kerala,Kamrup,Market A,Cashew,Processed,03/12/2024,48467,55239,53113
Kerala,Pune,Market B,Turmeric,Processed,10/02/2025,49760,57533,56011
Tamil Nadu,Pune,Market B,Tomato,Processed,29/08/2024,53171,58821,58492
Himachal Pradesh,North Goa,Market A,Cardamom,Fresh,14/07/2024,66410,75392,72750
Karnataka,Coimbatore,Market C,Apple,Premium,06/12/2024,29124,39648,33802
Nagaland,North Goa,Market A,Ginger,Rasthali,06/10/2024,60250,63578,63171
Nagaland,Coimbatore,Market C,Black Pepper,Rasthali,13/05/2024,73089,82471,77846
Himachal Pradesh,Kamrup,Market B,Black Pepper,Local,13/09/2024,30391,32879,31214
Assam,North Goa,Market D,Cardamom,Processed,24/03/2025,73616,83492,79660
Nagaland,Mysuru,Market B,Onion,Rasthali,31/10/2024,9617,15184,12878
Nagaland,Mysuru,Market D,Arecanut,Hybrid,28/08/2024,10666,13219,11964
Tamil Nadu,Kohima,Market D,Tomato,Processed,14/12/2024,17821,32705,31404
Karnataka,Pune,Market B,Ginger,Raw,14/11/2024,66911,81635,67818
Tamil Nadu,Mysuru,Market B,Apple,Fresh,07/05/2024,22229,28015,24076
Sikkim,Mysuru,Market C,Banana,Red Delicious,08/03/2025,26729,37633,35753
Himachal Pradesh,Kamrup,Market C,Onion,Local,10/12/2024,13245,21979,16007
Maharashtra,Pune,Market B,Ginger,Hybrid,20/11/2024,95454,105868,100985
Maharashtra,Ernakulam,Market A,Banana,Bold,07/07/2024,85076,98208,94525
Himachal Pradesh,North Goa,Market E,Arecanut,Hybrid,17/12/2024,84753,85749,85262
Karnataka,Shimla,Market C,Turmeric,Whole,20/12/2024,90783,97936,93219
Nagaland,Coimbatore,Market A,Ginger,Premium,30/05/2024,55476,63909,63085
Goa,Gangtok,Market E,Ginger,Processed,05/01/2025,95157,100888,97986
Jammu & Kashmir,Kamrup,Market C,Tomato,Local,24/02/2025,14917,20645,16897
Nagaland,Coimbatore,Market C,Turmeric,Whole,05/07/2024,19465,21551,19672
Himachal Pradesh,Srinagar,Market E,Arecanut,Whole,15/04/2025,21932,35760,27296
Maharashtra,Gangtok,Market B,Ginger,Premium,30/06/2024,68466,76614,72551
Himachal Pradesh,Kohima,Market A,Banana,Raw,14/06/2024,67249,75240,75168
Goa,North Goa,Market E,Black Pepper,Bold,02/11/2024,7624,12733,11678
Maharashtra,Kohima,Market C,Tomato,Bold,10/10/2024,15089,22649,16186
Himachal Pradesh,Gangtok,Market D,Black Pepper,Bold,17/03/2025,53505,54843,54672
Karnataka,North Goa,Market C,Tomato,Red Delicious,15/05/2024,10637,17466,14767
Nagaland,Mysuru,Market C,Onion,Hybrid,28/10/2024,16572,19180,16968
Jammu & Kashmir,Gangtok,Market C,Tomato,Processed,17/03/2025,99954,102817,100769
Maharashtra,Mysuru,Market D,Tomato,Bold,23/09/2024,6938,8075,7218
Sikkim,Kohima,Market E,Turmeric,Fresh,04/07/2024,80463,89409,82753
Sikkim,Pune,Market C,Ginger,Raw,30/08/2024,81805,94418,86707
Maharashtra,Gangtok,Market E,Tomato,Local,08/09/2024,65205,77316,74427
Himachal Pradesh,Kohima,Market A,Black Pepper,Processed,29/10/2024,89317,91612,91023
Maharashtra,Shimla,Market A,Onion,Premium,14/06/2024,35803,47044,45280
Maharashtra,North Goa,Market A,Onion,Premium,06/03/2025,23349,32438,29578
Assam,North Goa,Market A,Onion,Rasthali,16/11/2024,26006,26816,26457
Sikkim,Srinagar,Market B,Arecanut,Whole,19/10/2024,54788,63509,62514
Kerala,Kamrup,Market E,Cashew,Local,17/05/2024,43604,54953,51441
Karnataka,Srinagar,Market C,Ginger,Premium,26/05/2024,70878,76986,75353
Sikkim,Shimla,Market E,Turmeric,Whole,13/11/2024,33311,38382,37882
Himachal Pradesh,North Goa,Market C,Apple,Whole,17/11/2024,91471,103521,99482
Sikkim,Kohima,Market C,Tomato,Red Delicious,12/01/2025,38721,41217,41069
Karnataka,Srinagar,Market D,Black Pepper,Fresh,11/04/2025,39070,40259,39659
Tamil Nadu,Gangtok,Market D,Apple,Premium,15/08/2024,29047,32857,32438
Karnataka,Shimla,Market E,Apple,Fresh,20/06/2024,15316,25903,24930
Goa,North Goa,Market A,Tomato,Whole,26/01/2025,84616,88930,85046
Tamil Nadu,Srinagar,Market C,Turmeric,Rasthali,06/12/2024,90285,103413,92537
Kerala,Mysuru,Market B,Arecanut,Premium,15/12/2024,63580,74738,66847
Himachal Pradesh,Gangtok,Market C,Cardamom,Rasthali,08/01/2025,86498,96404,90302
Karnataka,Ernakulam,Market B,Arecanut,Fresh,07/06/2024,5763,19963,12267
Nagaland,Kamrup,Market C,Cardamom,Bold,15/05/2024,40110,49915,41868
Sikkim,Shimla,Market D,Tomato,Local,01/12/2024,65738,68436,67803
Nagaland,Shimla,Market B,Banana,Processed,07/09/2024,22298,34776,29816
Himachal Pradesh,Kamrup,Market A,Black Pepper,Red Delicious,27/01/2025,75420,86969,78584
Assam,Pune,Market D,Arecanut,Local,22/02/2025,43982,45903,44802
Tamil Nadu,Kamrup,Market B,Turmeric,Processed,23/09/2024,33512,34123,33779
Jammu & Kashmir,North Goa,Market D,Apple,Processed,28/05/2024,40576,50619,49962
Kerala,Shimla,Market C,Cashew,Bold,01/11/2024,88528,90964,90434
Himachal Pradesh,Kamrup,Market D,Tomato,Red Delicious,24/10/2024,91477,93900,92685
Sikkim,Pune,Market B,Cashew,Fresh,22/11/2024,63676,66685,65539
Maharashtra,Gangtok,Market D,Tomato,Premium,27/08/2024,71453,85092,82333
Goa,North Goa,Market E,Banana,Local,28/04/2024,59556,68709,65483
Tamil Nadu,Pune,Market A,Cardamom,Local,03/07/2024,67255,71067,69600
Karnataka,Kamrup,Market B,Black Pepper,Local,28/05/2024,58912,61316,59753
Maharashtra,Kohima,Market A,Tomato,Premium,14/07/2024,8292,16221,9372
Karnataka,Srinagar,Market D,Onion,Bold,31/12/2024,74242,82317,79753
Himachal Pradesh,Ernakulam,Market D,Apple,Bold,14/02/2025,98754,102824,101122
Tamil Nadu,Ernakulam,Market D,Black Pepper,Rasthali,16/02/2025,71931,73418,72072
Nagaland,Ernakulam,Market C,Arecanut,Fresh,12/10/2024,18750,31797,29260
Jammu & Kashmir,Gangtok,Market D,Turmeric,Raw,12/04/2025,50236,52050,51634
Karnataka,Kamrup,Market C,Banana,Fresh,25/02/2025,71419,78358,75751
Assam,North Goa,Market A,Cardamom,Red Delicious,01/06/2024,61686,73220,70606
Jammu & Kashmir,Mysuru,Market D,Cashew,Whole,05/11/2024,61375,67546,62645
Himachal Pradesh,North Goa,Market A,Cardamom,Raw,06/02/2025,81599,94650,81855
Goa,North Goa,Market A,Banana,Hybrid,27/10/2024,5400,13214,10297
Kerala,North Goa,Market A,Arecanut,Premium,19/10/2024,31715,41058,35274
Kerala,Kamrup,Market E,Apple,Whole,24/09/2024,96881,106819,102105
Maharashtra,Pune,Market C,Cashew,Red Delicious,17/02/2025,19777,31093,28317
Goa,Srinagar,Market C,Apple,Bold,27/03/2025,73970,84163,76839
Jammu & Kashmir,Mysuru,Market D,Cardamom,Processed,23/12/2024,85320,96819,91564
Karnataka,Gangtok,Market D,Arecanut,Fresh,28/11/2024,40306,46973,41812
Karnataka,Kohima,Market B,Cashew,Red Delicious,28/01/2025,93743,96608,95639
Kerala,Mysuru,Market D,Arecanut,Local,20/11/2024,70467,73163,72057
Goa,Shimla,Market B,Black Pepper,Rasthali,24/10/2024,59954,74333,66033
Tamil Nadu,Mysuru,Market B,Cardamom,Red Delicious,28/12/2024,50436,61973,60347
Maharashtra,Ernakulam,Market A,Cashew,Hybrid,31/03/2025,95936,107437,105092
Goa,Kohima,Market B,Black Pepper,Red Delicious,03/08/2024,3009,6979,6847
Goa,Coimbatore,Market D,Cashew,Hybrid,05/08/2024,93244,97094,94868
Goa,Mysuru,Market C,Apple,Raw,16/12/2024,62112,71355,67998
Himachal Pradesh,Shimla,Market C,Tomato,Premium,20/07/2024,62080,64195,64003
Sikkim,North Goa,Market C,Black Pepper,Raw,08/09/2024,6992,16708,10617
Assam,Ernakulam,Market C,Tomato,Hybrid,23/05/2024,76909,89205,83750
Himachal Pradesh,Kamrup,Market B,Black Pepper,Whole,28/03/2025,50786,60621,54812
Nagaland,Mysuru,Market C,Apple,Premium,29/03/2025,95838,106851,103875
Nagaland,Kamrup,Market C,Ginger,Fresh,10/08/2024,95412,104866,103412
Assam,Mysuru,Market A,Tomato,Bold,03/01/2025,10742,24644,21690
Kerala,Ernakulam,Market D,Ginger,Whole,15/01/2025,9908,21994,12382
Kerala,North Goa,Market E,Turmeric,Processed,20/10/2024,8923,19545,19371
Maharashtra,Kohima,Market D,Cardamom,Bold,08/06/2024,70758,80296,77497
Kerala,Ernakulam,Market E,Apple,Local,23/01/2025,38576,39356,39090
Jammu & Kashmir,Kamrup,Market A,Banana,Local,29/10/2024,20516,24964,22088
Maharashtra,Mysuru,Market C,Black Pepper,Red Delicious,16/01/2025,53022,54816,53786
Jammu & Kashmir,Kohima,Market E,Cashew,Whole,15/03/2025,40318,52025,41638
Kerala,Coimbatore,Market D,Arecanut,Raw,03/12/2024,73443,81741,74362
Kerala,Kamrup,Market A,Turmeric,Raw,09/09/2024,85529,98880,90956
Maharashtra,Coimbatore,Market E,Cardamom,Whole,27/03/2025,28710,43433,40052
Maharashtra,Kohima,Market C,Cardamom,Rasthali,19/08/2024,90709,95802,95157
Maharashtra,Ernakulam,Market B,Black Pepper,Bold,11/04/2025,28152,38269,30514
Jammu & Kashmir,Coimbatore,Market C,Ginger,Hybrid,20/10/2024,32519,42303,38894
Karnataka,Gangtok,Market D,Ginger,Rasthali,30/12/2024,66639,79352,72305
Kerala,Coimbatore,Market D,Cashew,Rasthali,12/12/2024,45642,56057,55699
Maharashtra,Srinagar,Market C,Cardamom,Red Delicious,08/03/2025,60054,68592,63791
Sikkim,Mysuru,Market D,Arecanut,Fresh,30/08/2024,90088,100186,96315
Tamil Nadu,Pune,Market C,Cashew,Rasthali,13/02/2025,11752,16642,13015
Jammu & Kashmir,Kamrup,Market D,Black Pepper,Processed,01/08/2024,14965,16964,14975
Himachal Pradesh,Kohima,Market C,Apple,Rasthali,30/01/2025,18367,20297,18750
Jammu & Kashmir,Kohima,Market E,Tomato,Local,19/02/2025,54483,56675,54590
Tamil Nadu,Gangtok,Market E,Banana,Hybrid,03/07/2024,79386,92738,84701
Jammu & Kashmir,Ernakulam,Market C,Arecanut,Raw,07/03/2025,12101,24476,21268
Goa,Pune,Market E,Ginger,Raw,28/02/2025,23216,25990,24317
Himachal Pradesh,Shimla,Market D,Ginger,Rasthali,25/08/2024,22916,30537,25176
Jammu & Kashmir,Shimla,Market D,Banana,Processed,25/12/2024,33990,38530,38051
Maharashtra,Pune,Market B,Turmeric,Rasthali,15/09/2024,18758,24249,18813
Jammu & Kashmir,Gangtok,Market E,Arecanut,Processed,23/10/2024,58700,64684,62227
Maharashtra,Kamrup,Market C,Black Pepper,Hybrid,11/05/2024,92133,95923,94095
Sikkim,Kamrup,Market D,Black Pepper,Red Delicious,17/08/2024,97321,109207,107690
Nagaland,Pune,Market B,Black Pepper,Raw,25/05/2024,37739,51616,50614
Jammu & Kashmir,Gangtok,Market A,Onion,Whole,04/05/2024,78624,88063,81571
Karnataka,Ernakulam,Market D,Cashew,Premium,21/10/2024,39185,53304,50536
Tamil Nadu,Srinagar,Market D,Ginger,Red Delicious,09/08/2024,32722,37361,33984
Jammu & Kashmir,Srinagar,Market A,Turmeric,Hybrid,21/11/2024,63814,73853,70380
Karnataka,Mysuru,Market D,Tomato,Bold,23/01/2025,48124,60119,56920
Maharashtra,Coimbatore,Market A,Cashew,Processed,25/03/2025,22802,33902,32840
Kerala,Pune,Market D,Black Pepper,Raw,14/11/2024,14886,15558,14986
Himachal Pradesh,North Goa,Market E,Tomato,Local,10/12/2024,77089,88855,86513
Goa,Kohima,Market C,Arecanut,Premium,27/10/2024,90070,100213,98269
Assam,Gangtok,Market A,Turmeric,Rasthali,19/05/2024,39722,47037,40425
Tamil Nadu,Kamrup,Market C,Apple,Processed,13/10/2024,60681,74030,64070
Karnataka,Kohima,Market C,Turmeric,Rasthali,19/03/2025,58431,70760,69846
Nagaland,Gangtok,Market A,Apple,Bold,05/11/2024,94163,96548,94255
Sikkim,Coimbatore,Market B,Cashew,Local,21/02/2025,23865,33407,26488
Sikkim,Mysuru,Market D,Turmeric,Whole,17/10/2024,54090,64907,57112
Assam,Srinagar,Market D,Cardamom,Hybrid,05/08/2024,26863,34728,31714
Jammu & Kashmir,Srinagar,Market A,Cashew,Whole,22/01/2025,37483,50309,49013
Tamil Nadu,Pune,Market A,Tomato,Fresh,17/04/2025,48945,54785,50559
Nagaland,Coimbatore,Market C,Turmeric,Local,31/10/2024,84769,90403,89659
Jammu & Kashmir,Pune,Market D,Onion,Rasthali,26/01/2025,46603,52869,50353
Maharashtra,Kamrup,Market C,Onion,Hybrid,12/01/2025,12108,23619,14302
Sikkim,Coimbatore,Market B,Apple,Rasthali,18/12/2024,24992,31608,30672
Assam,Mysuru,Market D,Arecanut,Hybrid,23/02/2025,19070,28987,25356
Jammu & Kashmir,Kamrup,Market D,Tomato,Fresh,07/01/2025,73733,76966,75738
Himachal Pradesh,Kamrup,Market B,Black Pepper,Premium,08/01/2025,82187,83565,82922
Kerala,Kohima,Market B,Cashew,Raw,28/02/2025,74607,83388,82716
Jammu & Kashmir,Kohima,Market D,Turmeric,Premium,04/12/2024,22922,24776,24079
Kerala,North Goa,Market C,Cardamom,Red Delicious,13/07/2024,30470,39778,35199
Assam,Kohima,Market E,Turmeric,Local,28/08/2024,67952,70306,70297
Tamil Nadu,Shimla,Market E,Black Pepper,Local,08/12/2024,6453,19404,18232
Nagaland,Mysuru,Market B,Arecanut,Rasthali,07/05/2024,97467,111566,108176
Goa,Shimla,Market A,Turmeric,Red Delicious,23/12/2024,46688,61314,60069
Tamil Nadu,Kohima,Market A,Cashew,Whole,30/08/2024,97680,107812,103424
Maharashtra,Srinagar,Market B,Onion,Fresh,20/05/2024,28082,41910,31472
Kerala,Pune,Market C,Tomato,Red Delicious,13/11/2024,79231,88558,81989
Sikkim,Shimla,Market C,Onion,Red Delicious,21/10/2024,68425,80054,69985
Assam,Srinagar,Market A,Apple,Fresh,21/11/2024,92937,107626,95111
Goa,Kamrup,Market C,Cashew,Raw,20/01/2025,65154,67983,67519
Himachal Pradesh,Srinagar,Market D,Turmeric,Rasthali,08/06/2024,84050,97568,96647
Tamil Nadu,Srinagar,Market E,Apple,Processed,15/12/2024,60597,69093,65959
Maharashtra,Ernakulam,Market A,Turmeric,Processed,30/10/2024,9300,22836,18056
Jammu & Kashmir,North Goa,Market D,Cashew,Premium,14/03/2025,36197,41986,38520
Sikkim,Mysuru,Market E,Ginger,Hybrid,31/01/2025,64614,78029,70245
Kerala,Ernakulam,Market A,Turmeric,Bold,03/09/2024,17284,31835,19872
Nagaland,Kohima,Market A,Arecanut,Whole,14/03/2025,91255,93916,92491
Assam,Shimla,Market A,Black Pepper,Red Delicious,25/07/2024,11803,18395,17246
Assam,Ernakulam,Market D,Apple,Whole,11/05/2024,57260,68499,58754
Tamil Nadu,Ernakulam,Market B,Turmeric,Rasthali,31/01/2025,18393,28619,22098
Karnataka,Kohima,Market A,Cardamom,Processed,12/02/2025,16806,31401,23725
Assam,Kohima,Market A,Cashew,Raw,30/03/2025,12708,25180,14386
Tamil Nadu,Gangtok,Market C,Apple,Fresh,27/05/2024,51164,64336,63503
Assam,Kamrup,Market A,Tomato,Hybrid,01/09/2024,2110,12609,4798
Nagaland,Gangtok,Market B,Ginger,Raw,19/02/2025,81750,93498,88998
Goa,Coimbatore,Market A,Ginger,Rasthali,23/11/2024,78276,90736,84567
Sikkim,Srinagar,Market C,Ginger,Whole,06/04/2025,37302,48363,38682
Goa,Mysuru,Market E,Onion,Hybrid,02/10/2024,38345,51607,49657
Kerala,Shimla,Market B,Tomato,Hybrid,18/08/2024,67784,71374,70847
Jammu & Kashmir,Shimla,Market A,Cashew,Premium,18/08/2024,51578,53925,52565
Nagaland,Pune,Market A,Tomato,Bold,10/09/2024,48329,54014,49410
Jammu & Kashmir,Pune,Market D,Black Pepper,Local,23/05/2024,90514,93844,93638
Nagaland,Coimbatore,Market A,Onion,Rasthali,14/05/2024,2807,7602,4574
Kerala,Ernakulam,Market D,Tomato,Red Delicious,13/11/2024,83388,95563,91597
Jammu & Kashmir,Srinagar,Market D,Banana,Local,07/11/2024,71471,82064,73972
Himachal Pradesh,Coimbatore,Market C,Banana,Local,05/02/2025,27633,41372,30178
Karnataka,Gangtok,Market D,Onion,Rasthali,16/05/2024,41654,53601,48821
Goa,Ernakulam,Market B,Banana,Raw,19/06/2024,16202,24130,21217
Maharashtra,Ernakulam,Market C,Ginger,Rasthali,10/03/2025,2660,14758,4908
Kerala,Kamrup,Market D,Black Pepper,Local,23/09/2024,68793,82121,80602
Himachal Pradesh,Kamrup,Market C,Ginger,Red Delicious,26/11/2024,97067,99501,97187
Sikkim,Srinagar,Market C,Tomato,Rasthali,27/01/2025,35465,47635,44912
Tamil Nadu,Kohima,Market D,Tomato,Processed,14/07/2024,8266,16951,11000
Sikkim,Kamrup,Market C,Banana,Hybrid,29/05/2024,89358,101700,91247
Goa,Mysuru,Market A,Cardamom,Bold,08/10/2024,33053,34306,34019
Sikkim,Srinagar,Market B,Ginger,Bold,04/01/2025,73465,87123,85163
Jammu & Kashmir,North Goa,Market C,Cashew,Raw,03/07/2024,95409,101150,97631
Tamil Nadu,Pune,Market C,Banana,Local,10/02/2025,89254,90616,89621
Goa,Mysuru,Market A,Arecanut,Rasthali,16/10/2024,61960,76649,66585
Himachal Pradesh,Gangtok,Market A,Tomato,Premium,09/10/2024,2044,8588,3687
Himachal Pradesh,Pune,Market C,Onion,Whole,28/06/2024,61807,68340,66654
Nagaland,North Goa,Market E,Cashew,Fresh,12/12/2024,1835,9053,2030
Goa,Mysuru,Market C,Cardamom,Processed,27/09/2024,1191,14125,11960
Jammu & Kashmir,Shimla,Market A,Cashew,Local,24/01/2025,32217,39595,36247
Kerala,Kamrup,Market C,Banana,Bold,21/12/2024,31339,45691,39854
Jammu & Kashmir,Gangtok,Market D,Banana,Hybrid,21/10/2024,13527,22307,15714
Jammu & Kashmir,Coimbatore,Market E,Onion,Bold,24/03/2025,58014,69367,60155
Goa,Shimla,Market C,Black Pepper,Raw,11/08/2024,92845,106974,104893
Sikkim,Gangtok,Market D,Apple,Whole,04/01/2025,10789,14610,11346
Maharashtra,Coimbatore,Market B,Banana,Fresh,29/05/2024,59925,68060,62497
Jammu & Kashmir,Coimbatore,Market E,Black Pepper,Whole,31/07/2024,60233,65784,64028
Himachal Pradesh,Coimbatore,Market A,Ginger,Red Delicious,08/12/2024,93367,105284,103251
Kerala,North Goa,Market C,Ginger,Rasthali,10/04/2025,94212,98778,97126
Jammu & Kashmir,Mysuru,Market A,Apple,Red Delicious,25/05/2024,23789,24798,24763
Jammu & Kashmir,Kohima,Market E,Tomato,Whole,31/03/2025,13415,21485,14249
Assam,Coimbatore,Market A,Cardamom,Whole,02/02/2025,18133,21879,21506
Jammu & Kashmir,Gangtok,Market A,Onion,Hybrid,15/06/2024,34924,48740,36152
Kerala,Coimbatore,Market B,Turmeric,Fresh,20/04/2025,13055,27436,26643
Sikkim,Coimbatore,Market A,Turmeric,Bold,18/07/2024,23018,32920,30114
Jammu & Kashmir,Kohima,Market A,Arecanut,Raw,16/12/2024,23650,29949,25408
Assam,Shimla,Market C,Turmeric,Fresh,03/01/2025,5541,16102,15685
Maharashtra,North Goa,Market C,Turmeric,Raw,07/01/2025,73179,81527,74178
Tamil Nadu,Shimla,Market D,Ginger,Raw,22/07/2024,27143,38172,35757
Goa,Mysuru,Market A,Arecanut,Processed,05/02/2025,63873,73294,71813
Sikkim,Pune,Market E,Black Pepper,Raw,08/02/2025,36446,39892,36552
Sikkim,Pune,Market B,Cardamom,Red Delicious,08/06/2024,8679,22427,16407
Karnataka,Gangtok,Market E,Cashew,Fresh,10/10/2024,14124,18684,16099
Himachal Pradesh,Mysuru,Market A,Cashew,Hybrid,25/05/2024,51911,58224,53334
Assam,North Goa,Market E,Black Pepper,Processed,27/07/2024,78537,79499,79257
Sikkim,Pune,Market E,Ginger,Hybrid,20/07/2024,25672,39880,38949
Nagaland,Mysuru,Market C,Ginger,Premium,10/09/2024,5975,7953,6090
Goa,Pune,Market B,Cardamom,Local,26/08/2024,63650,64161,63989
Maharashtra,North Goa,Market B,Black Pepper,Fresh,11/11/2024,43413,44888,43457
Assam,Pune,Market B,Banana,Local,13/10/2024,48826,50514,49591
Jammu & Kashmir,Pune,Market A,Black Pepper,Red Delicious,24/01/2025,43284,46019,43929
Jammu & Kashmir,Kohima,Market C,Ginger,Local,05/05/2024,91906,102461,97752
